track_id,seed_id,particleId,nStates,nMajorityHits,nMeasurements,nOutliers,nHoles,nSharedHits,chi2,ndf,chi2/ndf,pT,eta,phi,truthMatchProbability,good/duplicate/fake,Hits_ID
2624,225412,146|0|45|0|0,27,13,13,0,0,0,18.6869,26,0.718727,1.52375,-1.53753,3.02585,1,good,"[31933,37832,54438,65788,108915,120011,128556,105029,101709,164185,164195,163353,163360,]"
2623,225305,232|0|60|0|0,27,15,15,0,0,0,24.1815,31,0.780048,1.68905,-0.949615,3.03658,1,good,"[32364,37964,38483,54513,65858,108971,120247,120073,128710,128631,135137,171561,171565,179254,179257,]"
2622,224905,338|0|141|0|0,25,13,13,0,0,0,20.9325,27,0.775277,1.78869,-0.287624,2.73497,1,good,"[31195,37506,53814,54028,65486,108147,119613,128371,134933,171185,171189,179065,179068,]"
2621,224786,459|0|63|0|0,28,13,13,1,0,0,23.7412,26,0.913124,1.30266,1.73219,2.75562,1,good,"[31238,37568,53890,65432,108232,119688,139920,144282,147778,188818,188810,191748,191762,]"
2620,224713,42|0|39|0|0,23,10,10,0,0,0,21.0581,24,0.877421,1.08408,2.11678,2.77193,1,good,"[31324,37164,53919,73597,108276,138409,141735,146675,150190,154555,]"
2619,224676,233|0|56|0|0,26,13,13,1,0,0,15.0249,24,0.626037,1.38535,0.0416517,2.77066,1,good,"[31164,37500,54025,65484,108143,119611,128291,171069,171074,179007,179009,178912,178918,]"
2618,224662,515|0|53|0|0,24,12,12,0,0,0,34.0098,24,1.41707,1.08825,0.371161,2.77905,1,good,"[31253,37521,54031,65490,108168,119623,128304,134828,170953,170958,178933,178939,]"
2617,224658,35|0|78|0|0,29,14,14,1,0,0,13.339,36,0.370529,2.13407,2.28712,2.85073,1,good,"[31119,37585,38122,54158,73644,73595,76725,76671,138443,141773,146734,150244,154633,157489,]"
2616,224611,604|0|14|0|0,26,14,14,0,0,0,17.4529,27,0.646404,1.03371,0.313517,2.71739,1,good,"[31285,37530,54037,65508,108448,119799,128577,128479,135113,171517,171521,179523,179437,179441,]"
2615,224593,408|0|12|0|0,24,12,12,0,0,0,25.3244,24,1.05518,1.47531,1.3225,2.85008,1,good,"[37565,38093,54329,65666,108783,108488,119990,128687,185202,185209,187952,187962,]"
2614,224564,681|0|68|0|0,27,15,15,0,0,0,17.4389,29,0.601342,1.6628,-0.311873,2.89521,1,good,"[31308,38061,54295,65609,65738,108428,119924,128554,135038,171338,171342,179247,179251,179147,179151,]"
2613,224462,274|0|43|0|0,27,13,13,0,0,0,19.3802,27,0.717784,1.79155,1.54097,2.90401,1,good,"[31384,32598,38136,54127,65679,108509,119854,140878,144295,186955,186972,189812,189819,]"
2612,224346,494|0|139|0|0,28,2,8,6,0,0,27.9103,14,1.99359,1.25056,1.98774,2.93296,0.25,fake,"[32139,108529,139978,139954,143311,190725,190735,192706,]"
2611,224197,152|0|4|0|0,28,15,15,1,0,0,31.2318,30,1.04106,1.17367,0.76032,2.81234,1,good,"[30907,37495,54023,65497,65619,108455,108175,119632,128309,134899,171118,171120,179035,178961,178963,]"
